Key,polish
xuiOptionsVideoDistanceCustom,"Własne"
xuiParty,"Drużyna"
xuiPing,"Ping"
xuiPlayerKills,"Zabici gracze"
xuiPlayers,"Gracze"
xuiPlayerShow,"Pokaż"
xuiPointsAvailable,"[decea3]"
xuiPrefabEditor,"Edytor Prefab"
xuiQuests,"Misje"
xuiRewards,"Nagrody"
xuiRewardsNotAvailable,"Nagrody nie są dostępne."
xuiRwgCountyName,"Nazwa świata"
xuiRwgPreviewer,"Generator świata"
xuiRwgWorldSeed,"Seed"
xuiSellPrice,"$"
xuiSharedWaypoints,"Udostępnione"
xuiSign,"Edytuj tekst znaku"
xuiSkillBuy,"Odblokuj"
xuiSkillNerfedEffect,"[FF6A00]Umiejętność nie spełnia jednego lub więcej wymagań.[-]"
xuiSkills,"Umiejętności"
xuiSkillList,"Umiejętności"
xuiSteamID,"Steam ID"
xuiVehicleStorage,"Ładunek pojazdu"
xuiVoice,"Głos"
xuiWater,"Woda"
xuiWaypoints,"Zapisano"
xuiWorldEditor,"Edytor świata"
xuiWPskills,"Umiejętności"
xuiXPToNextLevel,"Pozostało doświadczenia do następnego poziomu"
xuiZombieKills,"Zabici zombie"
inpActSkillsName,"Umiejętności"
inpActSkillsDesc,"Otwórz zakładkę umiejętności"
uiLoadStartingGame,"Proszę czekać...\nZbieranie zapasów"
uiLoadLoadingXml,"Proszę czekać...\nSzukanie żywych"
uiLoadCreatingWorld,"Proszę czekać...\nWalcząc z nieumarłymi"
uiLoadCreatingPlayer,"Proszę czekać...\nFighting off raiders"
msgBuildingEnvironment,"Proszę czekać...\nSzukanie schronienia"
msgGeneratingDistantTerrain,"Proszę czekać...\nSzukanie lornetki"
msgStartingGame,"Proszę czekać...\nWypalanie trochę rudy"
uiLoadWaitingForServer,"Proszę czekać...\nPrzygotowywanie do hordy"
waitingForServer,"Proszę czekać...\nSzukanie jedzenia"
questBlockActivate,"[73E9B2][{{0}}][-] Aktywuj {1}"
questRallyActivate,"[73E9B2][{{0}}][-] Rozpocznij misję\n[decea3]( {1} )[-]"
npcTooltipTalk,"[73E9B2][{0}][-] Pomów z {1}"
itemTooltipFocusedOne,"[73E9B2][{0}][-] Weź {1}"
itemTooltipFocusedSeveral,"[73E9B2][{0}][-] Weź {1} ({2})"
forgeActivate,"[73E9B2][{0}][-] Otwórz piec"
useCampfire,"[73E9B2][{0}][-] Użyj"
useForge,"[73E9B2][{0}][-] Użyj"
useSecureDoor,"[73E9B2][{0}][-] Użyj"
useDoor,"[73E9B2][{0}][-] Użyj"
useOpen,"[73E9B2][{0}][-] Otwórz"
useClose,"[73E9B2][{0}][-] Zamknij"
useWorkstation,"[73E9B2][{0}][-] Użyj"
lootAccess,"[73E9B2][{0}][-] Otwórz {1}"
lootEntity,"[73E9B2][{0}][-] Szukaj {1}"
lootTooltipEmpty,"[73E9B2][{0}][-] Otwórz {1}\n[808080](Puste)[-]"
lootTooltipNew,"[73E9B2][{0}][-] Szukaj {1}\n[73E9B2](Nietknięte)[-]"
lootTooltipTouched,"[73E9B2][{0}][-] Otwórz {1}"
lootVehicleEmpty,"[73E9B2][{0}][-] Otwórz {1}{2}\n[808080](Puste)[-]"
lootVehicleNew,"[73E9B2][{0}][-] Szukaj {1}{2}\n[73E9B2](Nietknięte)[-]"
lootVehicleTouched,"[73E9B2][{0}][-] Otwórz {1}{2}"
lootVehicleSecureJammed,"[73E9B2][{0}][-] Użyj {1}{2}\n[808080](Zacięte)[-]"
lootVehicleSecureLocked,"[73E9B2][{0}][-] Użyj {1}{2}\n[808080](Zamknięte)[-]"
lootVehicleSecureUnlocked,"[73E9B2][{0}][-] Użyj {1}{2}\n[808080](Otwarte)[-]"
tooltipJammed,"[73E9B2][{0}][-] Użyj {1}\n[808080](Zacięte)[-]"
tooltipLocked,"[73E9B2][{0}][-] Użyj {1}\n[808080](Zamknięte)[-]"
tooltipUnlocked,"[73E9B2][{0}][-] Użyj {1}\n[808080](Otwarte)[-]"
useBlock,"[73E9B2][{0}][-] Użyj {1}"
editLabel,"[73E9B2][{0}][-] Edytuj etykietę"
useElevator,"[73E9B2][{0}][-] Użyj [808080](Piętro {1})[-]"
lootItem,"[73E9B2][{0}][-] Podnieś {1}"
tooltipInteract,"[73E9B2][{0}][-] Użyj {1}"
vendingMachineActivate,"[73E9B2][{0}][-] Użyj {1}"
useSwitchLightOff,"[73E9B2][{0}][-] Wyłącz"
useSwitchLightOn,"[73E9B2][{0}][-] Włącz"
npcTooltipTalk,"[73E9B2][{0}][-] Pomów z {1}"
pickupCrops,"[73E9B2][{{0}}][-] Zbierz {0} {1}"
pickupPrompt,"[73E9B2][{{0}}][-] Podnieś {0}"
xuiVendingWithOwner,"Automat\n[808080]({0})[-]"
xuiLockAmmo,"Włącz"
xuiUnlockAmmo,"Wyłącz"
activeBlockPrompt,"{0}\n[73E9B2](Aktywny)[-]"
inactiveBlockPrompt,"{0}\n[808080](Nieaktywny)[-]"
blockcommand_aim,"Cel"
blockcommand_confirm,"Potwierdź umieszczenie"
blockcommand_do_nothing,"Nic nie rób"
blockcommand_fuel_add,"Dodaj do pojemnika"
blockcommand_fuel_take,"Napełnij z pojemnika"
blockcommand_repair,"Napraw"
blockcommand_pick1,"Wybierz narzędzie\n[808080](Wytrych)[-]"
blockcommand_pick2,"Wybierz narzędzie\n[808080](Wsuwka)[-]"
uiNull,""
uiActionFillFrom,"[73E9B2][{0}][-] Wypełnij z {1}"
uiActionFillTo,"[73E9B2][{0}][-] Dodaj do {1}"
uiActionTake,"[73E9B2][{0}][-] Weź {1}"
uiActionUse,"[73E9B2][{0}][-] Użyj {1}"
uiActionUntouched,"\n[73E9B2](Nietknięte)[-]"
uiAll,"Wszystko"
uiAllResearch,"Wszystkie badania"
uiAmmo,"Amunicja"
uiAmmoAndExplosives,"Amunicja/Materiały wybuchowe"
uiAmmunition,"Amunicja"
uiArmor,"Pancerz"
uiAttention,"Uwaga"
uiBackpack,"Plecak"
uiBasicCrafting,"Wytwórz"
uiBiomeName,"Nazwa terenu"
uiBloodMoon,"Krwawy Księżyc"
uiBlockName,"{0}"
uiBlockAndMaterialName,"{1} / {0}"
uiBooksSchematics,"Książki i schematy"
uiBuffs,"Premie"
uiCantPickUpFuelNotEmpty,"Stacja robocza posiada paliwo!"
uiCantPickUpInputNotEmpty,"Stacja robocza posiada przedmioty!"
uiCantPickUpOutputNotEmpty,"Stacja robocza posiada przedmioty!"
uiCantPickUpQueueNotEmpty,"Stacja robocza dalej pracuje!"
uiCantPickUpToolsNotEmpty,"Stacja robocza posiada przedmioty!"
uiClothing,"Odzież"
uiClothingAndArmor,"Odzież i pancerz"
uiClothingArmorMods,"Dodatki do odzieży/pancerza"
uiColorPickerHex,"Kolor (Hex)"
uiColorPickerRGB,"Kolor (RGB)"
uiConfirmPlacement,"[73E9B2][{{0}}][-] Potwierdź"
uiContainer,"Pojemnik"
uiCopy,"Kopiuj"
uiCopyIDToClipboard,"Kopiuj ID do schowka"
uiCrafted,"Wytworzane w"
uiCraftedIn,"Wytwarzane w "
uiCraftingFuel,"Paliwo"
uiCraftingOutput,"Wyjście"
uiCraftingQueue,"Kolejka wytwarzania"
uiCraftingQueueAndOutput,"Kolejka/Wyjście"
uiCraftingTools,"Narzędzia"
uiCraftOutput,"Miejsce wytwarzania"
uiCrouching,"Przyczajony"
uiDescription,"Opis"
uiDetails,"Szczegóły"
uiDifficulty,"Poziom trudności"
ui_door_prefix," ("
ui_door_suffix,")"
ui_door_bottom,"Dolne drzwi"
ui_door_left,"Lewe drzwi"
ui_door_middle,"Środkowe drzwi"
ui_door_right,"Prawe drzwi"
ui_door_top,"Górne drzwi"
ui_drawer_bottom,"Dolna szuflada"
ui_drawer_left,"Lewa szuflada
ui_drawer_left_bottom,"Lewa wolna szuflada"
ui_drawer_left_middle,"Lewa środkowa szuflada"
ui_drawer_left_top,"Lewa górna szuflada"
ui_drawer_middle,"Środkowa szuflada"
ui_drawer_right,"Prawa szuflada"
ui_drawer_right_bottom,"Prawa dolna szuflada"
ui_drawer_right_middle,"Prawa środkowa szuflada"
ui_drawer_right_top,"Górna prawa szuflada"
ui_drawer_top,"Górna szuflada"
ui_drawer_top_middle,"Górna środkowa szuflada"
uiExplosives,"Materiały wybuchowe"
uiExplosivesAndMines,"Materiały wybuchowe i miny"
uiFeatureInProgress,"Funkcja jest obecnie w stanie rozwoju.\nMoże nie działać w ogóle lub częściowo."
uiFoodAndDrinks,"Jedzenie i napoje"
uiGameContinue,"Kontyntynuj grę"
uiGameNew,"Nowa gra"
uiGrowing,"Rośnie "
uiHeaderCrafting,"Wytwarzanie"
uiHeaderCharacter,"Postać"
uiHeaderMap,"Mapa"
uiHeaderSkills,"Postęp"
uiHeaderQuests,"Misje"
uiHeaderJournal,"Poradnik"
uiHeaderPlayers,"Gracze"
uiHeaderCreative,"Tryb kreatywny"
uiIngredientHave,", Masz: "
uiIngredientInclModded,"W tym zmodowane"
uiIngredientNeed,"\nPotrzeba: "
uiIngredientRetrieve,"\nOdzyskiwalne: "
uiInspectLockSlot,"Aby zablokować slot ekwipunku"
uiInspectStackSingle,"Aby upuścić tylko jeden przedmiot"
uiInspectStackSplit,"Przytrzymaj i przeciągnij, aby wziąć pół stosu"
uiInspectStackSwap,"Aby upuścić lub zamienić stos"
uiInspectStackTake,"Przytrzymaj i przeciągnij, aby wziąć stos"
uiInspectStackView,"Aby sprawdzić przedmiot, przepis lub aktywny efekt"
uiInteractWithBlock,"Interakcja z {0}"
uiInventory,"Ekwipunek"
uiItemNotFound,"Brakujący przedmiot [73E9B2]{0}[-]"
uiItemRequired,"Wymaga {0}"
uiLevelShort,"LVL"
uiLockAutoPick,"Automatyczne otwieranie"
uiLockAutoPickChance,"Szansa automatycznego otwierania: [decea3]{0}%[-]"
uiLockVeryEasy,"Bardzo łatwe"
uiLockEasy,"Łatwe"
uiLockAverage,"Średnie"
uiLockHard,"Ciężkie"
uiLockVeryHard,"Bardzo ciężkie"
uiLockExtremelyHard,"Niezwykle cięzkie"
uiLockImpossible,"Niemożliwe"
uiLockpickingSkillLevel,"Otwieranie zamka"
uiLockpickingLockLevel,"Zamek"
uiLockpicksLeft,"Pozostało Ci [decea3]{0} {1}[-]"
uiLockpicksLeftNone,"Nie posiadasz żadnych [decea3]{0}[-] w ekwipunku."
uiLockpicksTooltipKB,"Uzyj [73E9B2][{0}][-] lub [73E9B2][{1}][-] klawiszy albo przytrzymaj [73E9B2][{2}][-] i przeciągnij [73E9B2][Mouse Cursor][-] aby przesunąć [decea3]{3}[-]. Wtedy [73E9B2][{4}][-] spróbuj otworzyć."
uiLockpicksTooltipGP,"Uzyj [73E9B2][{0}][-] lub [73E9B2][{1}][-] klawiszy aby przesunąć [decea3]{2}[-]. Wtedy [73E9B2][{3}][-] spróbuj otworzyć."
uiMapBedroll,"Śpiwór"
uiMapCursor,"Kursor"
uiMapInfo,"Info"
uiMapPlayer,"Pozycja"
uiMapWaypoint,"Waypoint"
uiMapWaypoints,"Waypointy"
uiMapWaypointsPersonal,"Własne"
uiMapWaypointsShared,"Udostępnione"
uiMaterial,"Materiał"
uiMax,"Max"
uiMiscellaneous,"Różne"
uiMissingIngredients,"[decea3]Brakujące składniki[-]"
uiMissingScrapWires,"Nie posiadasz [decea3]Drutu[-] w swoim ekwipunku."
uiMods,"Modyfikatory"
uiMovementSpeed,"Prędkość ruchu"
uiMovementState,"Stan ruchu"
uiNoPower,"Brak zasilania"
uiNoSellPrice,"Brak ceny sprzedaży"
uiNoUpgradesForBlock,"Blok nie może zostać ulepszony"
uiPatchNotes,"Nowości/ostatnie zmiany"
uiOr,"lub"
uiPerkPoints,"Punkty"
uiPlayerEffects,"Efekty"
uiPlayerPreview,"Zobacz postać"
uiPlayerHidePreview,"Ukryj postać"
uiPlayerStats,"Statystyki"
uiPlayerStatsCore,"Podstawowe statystyki"
uiPlayerStatsMore,"Więcej szczegółów"
uiPlayerStatsLess,"Ukryj szczegóły"
uiPlayerStatsAdvanced,"Zaawansowane statystyki"
uiPowerOutput,"Wyjście"
uiPowerRemainingFuel,"Pozostało paliwa"
uiPowerUsed,"Użyte"
uiPrefabName,"Nazwa prefabu"
uiPricePrefix,"$"
uiPrimaryMaterial,"Materiał podstawowy"
uiQuality,"Jakość"
uiQuality1,"Z W Y K Ł Y"
uiQuality2,"P O W S Z E C H N Y"
uiQuality3,"N I E Z W Y K Ł Y"
uiQuality4,"R Z A D K I"
uiQuality5,"E P I C K I"
uiQuality6,"L E G E N D A R N Y"
uiQualityPrefix1,"ZWYKŁY"
uiQualityPrefix2,"POWSZECHNY"
uiQualityPrefix3,"NIEZWYKŁY"
uiQualityPrefix4,"RZADKI"
uiQualityPrefix5,"EPICKI"
uiQualityPrefix6,"LEGENDARNY"
uiQuestsShared,"Udostępniono"
uiRadiation,"Promieniowanie"
uiRayHitBlockName,"Nazwa bloku"
uiRayHitTileEntity,"Nazwa istoty"
uiRepair,"Napraw"
uiRepairable,"Można naprawić"
uiRepairCost,"Koszt naprawy"
uiRepairItem,"Naprawialne w"
uiRequires,"Wymaga"
uiRequiredMaterials,"Wymagane materiały"
uiRequiredTool,"Wymagane narzędzie"
uiResistance,"Odporność"
uiResistances,"Odporności"
uiRestrictedArea,"Teren zabroniony"
uiRetrievableComponents,"Elementy do odzyskania"
uiRunning,"Bieganie"
uiScrapped,"Zezłomowany"
uiScrappedIn,"Do zezłomowania w "
uiScrapMaterial,"Zezłomuj"
uiSearch,"Szukaj"
uiServiceInfo,"Informacje"
uiSettings,"Ustawienia"
uiShowOnMap,"Pokaż na mapie"
uiSignEdit,"Edytuj tekst"
ui_skill_buy,"Poziom wyżej"
ui_skill_cost,"Koszt wyższego poziomu"
ui_skill_exp,"Doświadczenie"
ui_skill_level,"Aktualny poziom"
ui_skill_points,"Punkty umiejętności"
uiSkillPoint,"Punkt umiejętności"
uiSkillPoints,"Punkty umiejętności"
ui_skill_points_available,"Dostępne punkty umiejętności"
uiSkillPointsName,"Punkty umiejętności"
uiSkillBuy,"Poziom wyżej"
uiSkillPointShort,"PKT"
uiSkillPointsShort,"PKT"
uiSortName,"Sortuj wg. nazwy (Rosnąco)"
uiSortGroup,"Sortuj wg. typu (Rosnąco)"
uiSortPrice,"Sortuj wg. ceny (Malejąco)"
uiSortWeight,"Sortuj wg. wagi (Malejąco)"
uiSPCostNext,"Następny poziom: "
uiSpeedKMH," km/h"
uiSpeedMPH," mph"
uiStats,"Statystyki"
uiStorage,"Magazyn"
uiStorageCompartment,"Miejsce"
uiStorageCompartments,"Miejsca"
uiTabPersonal,"Osobiste"
uiTabShared,"Udostępnione"
uiTeleportEW,"X (Wsch/Zach)"
uiTeleportNS,"Z (Płn/Płd)"
uiToggleSearch,"Wyszukaj"
uiTotal,"Razem: {0}"
uiTraps,"Pułapki"
uiTransferAll,"Przenieś wszystkie przedmioty\nz plecaka do kontenera"
uiTransferAllToBag,"Weź wszystko"
uiTransferStackables,"Przenieś wszystkie łączące się przedmioty\nz plecaka do kontenera"
uiTransferStackablesToBag,"Weź wszystkie łączące się przedmioty"
uiType,"Typ"
uiUpgrade,"Ulepszenie"
uiUpgradeChance,"Szansa na ulepszenie"
uiUpgradeCost,"Koszt ulepszenia"
uiUpgradeFail,"[FF1919]Ulepszenie się nie powiodło[-]"
uiUpgradeMax,"Nie możesz już tego ulepszyć"
uiUpgradeSuccess,"[73E9B2]Ulepszenie powiodło się[-]"
uiUpgradeRemoveMods,"[decea3]Nie można ulepszyć z zainstalowanymi dodatkami[-]"
uiUpgradeRequiresRepairs,"[decea3]Przedmiot musi być naprawiony[-]"
uiUnderwater,"Pod wodą"
uiUnlockedBy,"Do odblokowania przez"
uiUnknownIngredient,"Nieznany składnik"
uiUnlearned,"Nienauczone"
uiUnpinPinnedRecipe,"Odepnij przypięty przepis"
uiValue,"Wartość"
uiVehicleCargo,"Limit ładunku"
uiVehicleSeats,"Siedzenia"
uiVehicleSlots,"Ilość miejsca w bagażniku"
uiVehicleConsumption,"Spalanie"
uiVehicleFuelEfficiency,"Efektywność spalania"
uiVehicles,"Pojazdy"
uiVehicleSpeed,"Prędkość"
uiVehicleSpeedTurbo,"Prędkość (Turbo)"
uiVehicleTank,"Pojemność baku"
uiVersionNewAvailable,"Dostępna aktualizacja"
uiWalking,"Chodzenie"
uiWeaponsMelee,"Broń biała"
uiWeaponsMeleeAndTools,"Broń biała i narzędzia"
uiWeaponsRanged,"Bronie zasięgowe"
uiWeight,"Waga"
uiServerVersionMissmatch,"Wersja klienta nie jest zgodna z wersją serwera."
uiServerVersionUnknown,"[ff0000]Nieznana wersja[-]"
statAccuracy,"Dokładność"
statAlcohol,"Alkohol"
statAlcoholMax,"Max alkohol"
statArmorRating,"Pancerz"
statAttackSpeed,"Prędkość ataku"
statAttacksPerMinute,"Prędkość ataku"
statBlockDamage,"Obrażenia w blok"
statBlocksLight,"Światło"
statCarbs,"Węglowodany"
statCarbsMax,"Max węglowodany"
statCondition,"Kondycja"
statCoreTemp,"Temperatura ciała"
statCraftingTier,"Poziom rzemieślniczy"
statCraftingTime,"Czas wytworzenia"
statCraftingSpeed,"Szybkość tworzenia"
statCurrentLife,"Aktualnie"
statDamage,"Obrażenia"
statDeaths,"Śmierci"
statDismemberChance,"Szansa na poćwiartowanie"
statDurability,"Wytrzymałość"
statDurabilityMax,"Max wytrzymałość"
statDurabilityUse,"Mnożnik wytrzymałości"
statEfficiency,"Wydajność"
statTravelled,"Przemierzono"
statDysenteryChance,"Ryzyko biegunki"
statEncumbered,"Obciązony"
statEncumbrance,"Obciążenie"
statEncumbranceBonus,"Dodatkowy limit obciążenia"
statExpRate,"Bonus dośw."
statExpToNextLevel,"Potrzebne dośw."
statFat,"Otyłość"
statFatMax,"Max otyłość"
statFireRate,"Szybkostrzelność"
statFood,"Jedzenie"
statFoodMax,"Max jedzenie"
statFoodRate,"Efektywność spalania żywności"
statFuel,"Paliwo"
statGas,"Benzyna"
statHandling,"Obsługa"
statHealing,"Leczenie"
statHealth,"Życie"
statHealthMax,"Max życie"
statHealthRegen,"Regeneracja zdrowia"
statItemsCrafted,"Przedmioty utworzone"
statJumpStrength,"Wysokość skoku"
statKilledPlayers,"Zabici gracze"
statKilledZombies,"Zabici zombie"
statLoad,"Ładuj"
statLongestLife,"Najdłuższe życie"
statLootStage,"Etap łupów"
statMagazineSize,"Magazynek"
statMobility,"Mobilność"
statModificationSlots,"Sloty"
statPoisonChance,"Ryzyko zatrucia"
statPower,"Energia"
statPowerEfficiency,"Wydajność energetyczna"
statProtein,"Białko"
statProteinMax,"Max białka"
statRange,"Zasięg"
statRecoil,"Odrzut"
statReloadSpeed,"Szybkość przeładowania"
statResistBleeding,"Odporność na krwawienie"
statResistCold,"Odporność na zimno"
statResistDiseases,"Odporność na choroby"
statResistInfection,"Odporność na infekcje"
statResistFallDamage,"Redukcja obrażeń od upadku"
statResistHeat,"Odporność na ciepło"
statResistPhysical,"Odporność fizyczna"
statResistRadiation,"Odporność na promieniowanie"
statResistStun,"Odporność na ogłuszenie"
statResistToxic,"Odporność na toksyny"
statRoundsPerMinute,"Szybkość ataku dystansowego"
statStamina,"Wytrzymałość"
statStaminaMax,"Max wytrzymałość"
statStaminaRegen,"Regeneracja wytrzym."
statStopsBleeding,"Zatrzymuje krwawienia"
statStopsLaceration,"Leczy rany"
statStopsBrokenLimbs,"Leczy złamane kończyny"
statTreasureRadius,"Promień skarbu"
statVitamins,"Witaminy"
statVitaminsMax,"Max witaminy"
statWater,"Woda"
statWaterMax,"Max wody"
statWaterRate,"Szybkość spalania wody"
statWeight,"Udźwig"
statWeightMax,"Limit udźwigu"
statWellness,"Kondycja"
statWellnessMax,"Max kondycji"
statWellnessRate,"Ocena kondycji"
tt_belongs_to_other_player,"To należy do kogoś innego"
tt_empty_before_pickup,"To musi być puste przed podniesieniem."
tt_container_is_full,"Nie możesz dodać nic więcej."
tt_not_enough_substance,"Niewystarczająco aby zapełnić ten przedmiot."
tt_no_compatible_items,"Nie korzystam z odpowiedniego przedmiotu."
type1hAxes,"Jednoręczna siekiera"
type1hBlades,"Jednoręczne ostrze"
type1hBlunt,"Jednoręczna tępa broń"
type1hKnives,"Jednoręczny nóż"
type2hAxes,"Dwuręczna siekiera"
type2hMelee,"Dwuręczna broń biała"
type4x4,"Samochód | Pojazd"
typeadvBuilding,"Zaawansowane"
typeAmmo,"Amunicja"
typeAmmoWeapons,"Amunicja/Broń"
typeAmmunition,"Amunicja"
typeApparel,"Strój"
typeArmor,"Zbroja"
typeAutomotive,"Pojazdowe"
typeBasics,"Podstawowe"
typeBatons,"Pałka"
typeBeams,"Belka"
typeBicycles,"Rower | Pojazd"
typeBlock,"Blok"
typeBladeLong,"Długie ostrze"
typeBladeShort,"Krótkie ostrze"
typeBlunt,"Tępe"
typeBluntLong,"Tępe długie"
typeBluntShort,"Tępe krótkie"
typeBlocks,"Blok"
typeBooks,"Książka"
typeBows,"Łuk"
typeBuilding,"Budynek"
typeBundles,"Pakiet przedmiotów"
typeCandy,"Cukierek"
typeCannedFood,"Żywność w puszcze"
typeCars,"Samochód | Pojazd"
typeCatwalks,"Wybieg"
typeCFChemicals,"Chemiczny"
typeCFDrinkCooking,"Drink"
typeCFFoodCooking,"Żywność"
typeChemicals,"Chemiczny"
typeChemicalComposite,"Kompozyt chemiczny"
typeClothing,"Ubranie"
typeClubs,"Maczuga"
typeCollectors,"Kolekcjoner zasobów"
typeConsumables,"Do zjedzenia"
typeConstructionTools,"Narzędzia budowlane"
typeCookingTools,"Narzędzie do gotownia"
typeCorpses,"Ciała"
typeCraftingMisc,"Wytwarzanie/Inne"
typeCrops,"Uprawa"
typeCrossbows,"Kusza"
typeCutting,"Cięcie | Wydobywanie"
typeDebris,"Gruz"
typeDecorMiscellaneous,"Różne"
typeDecor,"Dekoracje"
typeDecorative,"Dekoracyjny"
typeDigging,"Kopanie"
typeDiggingTools,"Narzędzie do kopania"
typeDoors,"Drzwi"
typeDrinks,"Drinki"
typeDrugs,"Narkotyki"
typeDyeMods,"Barwnik"
typeElectrical,"Elektryczny"
typeElectricalTools,"Narzędzie do kabli"
typeExplosives,"Materiał wybuchowy"
typeFirearms,"Broń palna"
typeFistWeapons,"Broń ręczna"
typeFood,"Żywność"
typeFoodCooking,"Żywność/Gotowanie"
typeFurniture,"Meble/Dekoracja"
typeGrenades,"Granat"
typeGun,"Strzelba"
typeGuns,"Strzelba"
typeGyroCopters,"Wiatrakowiec | Pojazd"
typeHandTools,"Narzędzie ręczne"
typeHealth,"Życie"
typeHeavyArmor,"Ciężki pancerz"
typeHelicopters,"Helikopter | Pojazd"
typeItem,"Przedmiot"
typeJunk,"Rupieć"
typeKnives,"Nóż"
typeLandMines,"Mina lądowa | Budownictwo"
typeLaunchers,"Wyrzutnia"
typeLightArmor,"Lekki pancerz"
typeLighting,"Oświetlenie"
typeLoot,"Pojemnik"
typeMedical,"Medycyna"
typeMedicine,"Medycyna"
typeMediumArmor,"Średni pancerz"
typeMelee,"Atak wręcz"
typeMeleeTools,"Narzędzie do walki wręcz"
typeMeleeWeapons,"Broń biała"
typeMachineGuns,"Karabin maszynowy"
typeMinesExplosives,"Miny/Materiały wybuchowe"
typeMinibikes,"Motorynka | Pojazd"
typeMotorcycles,"Motocykl | Pojazd"
typeChoppingTools,"Narzędzie do rąbania drewna"
typeMaintenance,"Narzędzie do naprawy i ulepszania"
typeMiningTools,"Narzędzie górnicze"
typeMissions,"Przedmiot misji"
typeMisc,"Różne"
typeMods,"Modyfikatory"
typePainting,"Malarstwo"
typePaintingTools,"Narzędzie do malowania"
typePistols,"Pistolet"
typePlumbing,"Instalacja wodociągowa"
typePolearms,"Broń drzewcowa"
typePortableDrones,"Przenośny dron"
typePortableTurrets,"Przenośna wieżyczka"
typePowered,"Zasilany"
typePoweredCutting,"Zasilane narzędzie tnące"
typePoweredDigging,"Zasilane narzędzie do kopania"
typePoweredMining,"Zasilane narzędzie górnicze"
typePoweredMiningDigging,"Zasilane narzędzie do wydobywania/kopania"
typeResearch,"Badania"
typeQuality,"Jakość"
typeQualitySchematics,"Quality Research"
typeRanged,"Ranged"
typeRangedGuns,"Gun"
typeRangedWeapons,"Ranged Weapon"
typeRecipes,"Recipe"
typeResources,"Resource"
typeRoadProps,"Road Decor"
